Removed Series and Samples,,,
Series,Reason,Sample,Reason
,,GSM1562562,irrelevant cell line 
,,GSM1562563,irrelevant cell line 
,,GSM1562564,irrelevant cell line 
,,GSM1562565,irrelevant cell line 
,,GSM1562566,irrelevant cell line 
,,GSM1562567,irrelevant cell line 
,,GSM1562568,irrelevant cell line 
,,GSM1562569,irrelevant cell line 
,,GSM1562570,irrelevant cell line 
,,GSM1562571,irrelevant cell line 
,,GSM1562572,irrelevant cell line 
,,GSM1562573,irrelevant cell line 
,,GSM1562574,irrelevant cell line 
,,GSM1562575,irrelevant cell line 
,,GSM1562576,irrelevant cell line 
,,GSM1562577,irrelevant cell line 
,,GSM1562578,irrelevant cell line 
,,GSM1562579,irrelevant cell line 
,,GSM1562580,irrelevant cell line 
,,GSM1562581,irrelevant cell line 
,,GSM1562582,irrelevant cell line 
,,GSM1562583,irrelevant cell line 
,,GSM1562584,irrelevant cell line 
,,GSM1562585,irrelevant cell line 
,,GSM1562586,irrelevant cell line 
,,GSM1562587,irrelevant cell line 
,,GSM1562588,irrelevant cell line 
,,GSM1562589,irrelevant cell line 
,,GSM1562590,irrelevant cell line 
,,GSM1562591,irrelevant cell line 
,,GSM1562592,irrelevant cell line 
,,GSM1562593,irrelevant cell line 
,,GSM1562594,irrelevant cell line 
,,GSM1562595,irrelevant cell line 
,,GSM1562596,irrelevant cell line 
,,GSM1562597,irrelevant cell line 
,,GSM1562598,irrelevant cell line 
,,GSM1562599,irrelevant cell line 
,,GSM2452050,irrelevant cell line 
,,GSM3683591,irrelevant treatment
,,GSM3683592,irrelevant treatment
,,GSM3683595,irrelevant treatment
,,GSM3683596,irrelevant treatment
,,GSM3683599,irrelevant treatment
,,GSM3683600,irrelevant treatment
,,GSM2706322,outlier
,,GSM2706335,outlier
