Removed samples and series PI3K ,,,
Series,Reason,Sample,Reason 
,,GSM2493348,irrelevant knockout
,,GSM2493349,irrelevant knockout
,,GSM2493350,irrelevant knockout
,,GSM2493351,irrelevant knockout
,,GSM2493352,irrelevant knockout
,,GSM2493353,irrelevant knockout
,,GSM2493354,irrelevant knockout
,,GSM2493355,irrelevant knockout
,,GSM2493356,irrelevant knockout
,,GSM2493357,irrelevant knockout
,,GSM2493358,irrelevant knockout
,,GSM2493359,irrelevant knockout
,,GSM2493360,irrelevant knockout
,,GSM2493361,irrelevant knockout
,,GSM2493362,irrelevant knockout
,,GSM2493363,irrelevant knockout
,,GSM2493364,irrelevant knockout
,,GSM2493365,irrelevant knockout
,,GSM2493366,irrelevant knockout
,,GSM2493367,irrelevant knockout
,,GSM2493368,irrelevant knockout
,,GSM2493369,irrelevant knockout
,,GSM2493370,irrelevant knockout
,,GSM2493371,irrelevant knockout
,,GSM2493372,irrelevant knockout
,,GSM2493373,irrelevant knockout
,,GSM2493374,irrelevant knockout
,,GSM2493375,irrelevant knockout
,,GSM2493376,irrelevant knockout
,,GSM2493377,irrelevant knockout
,,GSM2493378,irrelevant knockout
,,GSM2493379,irrelevant knockout
,,GSM2493380,irrelevant knockout
,,GSM2493381,irrelevant knockout
,,GSM2493382,irrelevant knockout
,,GSM2493383,irrelevant knockout
,,GSM2493384,irrelevant knockout
,,GSM2493385,irrelevant knockout
,,GSM2493386,irrelevant knockout
,,GSM2493387,irrelevant knockout
,,GSM2493388,irrelevant knockout
,,GSM2493389,irrelevant knockout
,,GSM2493390,irrelevant knockout
,,GSM2493391,irrelevant knockout
,,GSM2493392,irrelevant knockout
,,GSM2493393,irrelevant knockout
,,GSM2493394,irrelevant knockout
,,GSM2493395,irrelevant knockout
,,GSM2493396,irrelevant knockout
,,GSM2493397,irrelevant knockout
,,GSM2493398,irrelevant knockout
,,GSM2493399,irrelevant knockout
,,GSM2493400,irrelevant knockout
,,GSM2493401,irrelevant knockout
,,GSM2493402,irrelevant knockout
,,GSM2493403,irrelevant knockout
,,GSM2493404,irrelevant knockout
,,GSM2493405,irrelevant knockout
,,GSM2493406,irrelevant knockout
,,GSM2493407,irrelevant knockout
,,GSM2493408,irrelevant knockout
,,GSM2493409,irrelevant knockout
,,GSM2493410,irrelevant knockout
,,GSM2493411,irrelevant knockout
,,GSM2493412,irrelevant knockout
,,GSM2493413,irrelevant knockout
,,GSM2493414,irrelevant knockout
,,GSM2493415,irrelevant knockout
,,GSM2493416,irrelevant knockout
,,GSM2493417,irrelevant knockout
,,GSM2493418,irrelevant knockout
,,GSM2493419,irrelevant knockout
,,GSM2493420,irrelevant knockout
,,GSM2493421,irrelevant knockout
,,GSM2493422,irrelevant knockout
,,GSM2493423,irrelevant knockout
,,GSM2493424,irrelevant knockout
,,GSM2493425,irrelevant knockout
,,GSM2493426,irrelevant knockout
,,GSM2493427,irrelevant knockout
,,GSM2493428,irrelevant knockout
,,GSM2493429,irrelevant knockout
,,GSM2493430,irrelevant knockout
,,GSM2493431,irrelevant knockout
,,GSM2493432,irrelevant knockout
,,GSM2493433,irrelevant knockout
,,GSM2493434,irrelevant knockout
,,GSM2493435,irrelevant knockout
,,GSM2493436,irrelevant knockout
,,GSM2493437,irrelevant knockout
,,GSM2493438,irrelevant knockout
,,GSM2493439,irrelevant knockout
,,GSM2493440,irrelevant knockout
,,GSM2493441,irrelevant knockout
,,GSM2493442,irrelevant knockout
,,GSM2493443,irrelevant knockout
,,GSM2493444,irrelevant knockout
,,GSM2493445,irrelevant knockout
,,GSM2493446,irrelevant knockout
,,GSM2493447,irrelevant knockout
,,GSM2493448,irrelevant knockout
,,GSM2493449,irrelevant knockout
,,GSM2493450,irrelevant knockout
,,GSM2493451,irrelevant knockout
,,GSM2493452,irrelevant knockout
,,GSM2493453,irrelevant knockout
,,GSM2493454,irrelevant knockout
,,GSM2493455,irrelevant knockout
,,GSM2493456,irrelevant knockout
,,GSM2493457,irrelevant knockout
,,GSM2493458,irrelevant knockout
,,GSM2493459,irrelevant knockout
,,GSM2493460,irrelevant knockout
,,GSM2493461,irrelevant knockout
,,GSM2493462,irrelevant knockout
,,GSM2493463,irrelevant knockout
,,GSM2493464,irrelevant knockout
,,GSM2493465,irrelevant knockout
,,GSM2493466,irrelevant knockout
,,GSM2493467,irrelevant knockout
,,GSM2493468,irrelevant knockout
,,GSM2493469,irrelevant knockout
,,GSM2493470,irrelevant knockout
,,GSM2493471,irrelevant knockout
,,GSM2493472,irrelevant knockout
,,GSM2493473,irrelevant knockout
,,GSM2493474,irrelevant knockout
,,GSM2493475,irrelevant knockout
,,GSM2493476,irrelevant knockout
,,GSM2493477,irrelevant knockout
,,GSM2493478,irrelevant knockout
,,GSM2493479,irrelevant knockout
,,GSM2493480,irrelevant knockout
,,GSM2493481,irrelevant knockout
,,GSM2493482,irrelevant knockout
,,GSM2493483,irrelevant knockout
,,GSM2493484,irrelevant knockout
,,GSM2493485,irrelevant knockout
,,GSM2493486,irrelevant knockout
,,GSM2493487,irrelevant knockout
,,GSM2493488,irrelevant knockout
,,GSM2493489,irrelevant knockout
,,GSM2493490,irrelevant knockout
,,GSM2493491,irrelevant knockout
,,GSM2493492,irrelevant knockout
,,GSM2493493,irrelevant knockout
,,GSM2493494,irrelevant knockout
,,GSM2493495,irrelevant knockout
,,GSM2493496,irrelevant knockout
,,GSM2493497,irrelevant knockout
,,GSM2493498,irrelevant knockout
,,GSM2493499,irrelevant knockout
,,GSM2493500,irrelevant knockout
,,GSM2493501,irrelevant knockout
,,GSM2493502,irrelevant knockout
,,GSM2493503,irrelevant knockout
,,GSM2493504,irrelevant knockout
,,GSM2493505,irrelevant knockout
,,GSM2493506,irrelevant knockout
,,GSM2493507,irrelevant knockout
,,GSM2493508,irrelevant knockout
,,GSM2493509,irrelevant knockout
,,GSM2493510,irrelevant knockout
,,GSM2493511,irrelevant knockout
,,GSM2493512,irrelevant knockout
,,GSM2493513,irrelevant knockout
,,GSM2493514,irrelevant knockout
,,GSM2493515,irrelevant knockout
,,GSM2493516,irrelevant knockout
,,GSM2493517,irrelevant knockout
,,GSM2493518,irrelevant knockout
,,GSM2493519,irrelevant knockout
,,GSM2493520,irrelevant knockout
,,GSM2493521,irrelevant knockout
,,GSM2493522,irrelevant knockout
,,GSM2493523,irrelevant knockout
,,GSM2493524,irrelevant knockout
,,GSM2493525,irrelevant knockout
,,GSM2493526,irrelevant knockout
,,GSM2493527,irrelevant knockout
,,GSM2493528,irrelevant knockout
,,GSM2493529,irrelevant knockout
,,GSM2493530,irrelevant knockout
,,GSM2493531,irrelevant knockout
,,GSM2493532,irrelevant knockout
,,GSM2493533,irrelevant knockout
,,GSM2493534,irrelevant knockout
,,GSM2493535,irrelevant knockout
,,GSM2493536,irrelevant knockout
,,GSM2493537,irrelevant knockout
,,GSM2493538,irrelevant knockout
,,GSM2493539,irrelevant knockout
,,GSM2493540,irrelevant knockout
,,GSM2493541,irrelevant knockout
,,GSM2493542,irrelevant knockout
,,GSM2493543,irrelevant knockout
,,GSM2493544,irrelevant knockout
,,GSM2493545,irrelevant knockout
,,GSM2493546,irrelevant knockout
,,GSM2493547,irrelevant knockout
,,GSM2493548,irrelevant knockout
,,GSM2493549,irrelevant knockout
,,GSM2493550,irrelevant knockout
,,GSM2493551,irrelevant knockout
,,GSM2493552,irrelevant knockout
,,GSM2493553,irrelevant knockout
,,GSM2493554,irrelevant knockout
,,GSM2493555,irrelevant knockout
,,GSM2493556,irrelevant knockout
,,GSM2493557,irrelevant knockout
,,GSM2493558,irrelevant knockout
,,GSM2493559,irrelevant knockout
,,GSM2493560,irrelevant knockout
,,GSM2493561,irrelevant knockout
,,GSM2493562,irrelevant knockout
,,GSM2493563,irrelevant knockout
,,GSM2493564,irrelevant knockout
,,GSM2493565,irrelevant knockout
,,GSM2493566,irrelevant knockout
,,GSM2493567,irrelevant knockout
,,GSM2493568,irrelevant knockout
,,GSM2493569,irrelevant knockout
,,GSM2493570,irrelevant knockout
,,GSM2493571,irrelevant knockout
,,GSM2493572,irrelevant knockout
,,GSM2493573,irrelevant knockout
,,GSM2493574,irrelevant knockout
,,GSM2493575,irrelevant knockout
,,GSM2493576,irrelevant knockout
,,GSM2493577,irrelevant knockout
,,GSM2493578,irrelevant knockout
,,GSM2493579,irrelevant knockout
,,GSM2493580,irrelevant knockout
,,GSM2493581,irrelevant knockout
,,GSM2493582,irrelevant knockout
,,GSM2493583,irrelevant knockout
,,GSM2493584,irrelevant knockout
,,GSM2493585,irrelevant knockout
,,GSM2493586,irrelevant knockout
,,GSM2493587,irrelevant knockout
,,GSM2493588,irrelevant knockout
,,GSM2493589,irrelevant knockout
,,GSM2493590,irrelevant knockout
,,GSM2493591,irrelevant knockout
,,GSM2493592,irrelevant knockout
,,GSM2493593,irrelevant knockout
,,GSM2493594,irrelevant knockout
,,GSM2493595,irrelevant knockout
,,GSM2493596,irrelevant knockout
,,GSM2493597,irrelevant knockout
,,GSM2493598,irrelevant knockout
,,GSM2493599,irrelevant knockout
,,GSM2493600,irrelevant knockout
,,GSM2493601,irrelevant knockout
,,GSM2493602,irrelevant knockout
,,GSM2493603,irrelevant knockout
,,GSM2493604,irrelevant knockout
,,GSM2493605,irrelevant knockout
,,GSM2493606,irrelevant knockout
,,GSM2493607,irrelevant knockout
,,GSM2493608,irrelevant knockout
,,GSM2493609,irrelevant knockout
,,GSM2493610,irrelevant knockout
,,GSM2493611,irrelevant knockout
,,GSM2493612,irrelevant knockout
,,GSM2493613,irrelevant knockout
,,GSM2493614,irrelevant knockout
,,GSM2493615,irrelevant knockout
,,GSM2493616,irrelevant knockout
,,GSM2493617,irrelevant knockout
,,GSM2493618,irrelevant knockout
,,GSM2493619,irrelevant knockout
,,GSM2493620,irrelevant knockout
,,GSM2493621,irrelevant knockout
,,GSM2493622,irrelevant knockout
,,GSM2493623,irrelevant knockout
,,GSM2493624,irrelevant knockout
,,GSM2493625,irrelevant knockout
,,GSM2493626,irrelevant knockout
