sample_id	cell_cycle	metastasis	hypoxia	notch	p53	pi3k
SRR1068808	0.0782141187470781	0.260684757419451	0.134253713763042	0.0572380646083476	0.129559386540906	0.106451680790168
SRR1068832	0.0390918653576438	0.240964341780668	0.135116210722433	0.115293560606061	0.135441252792382	0.111725545765756
SRR1068880	0.193935250116877	0.281507811915975	0.155198424178153	0.0789781660949114	0.080405939030169	0.11905059206465
SRR1068929	0.0369015895278167	0.190173432010167	0.128513197968375	0.135689143796455	0.0902125595144075	0.12746436388125
SRR1068953	0.104277699859748	0.0627711744038275	0.0796877361987058	0.109419668381933	0.127703063534686	0.129327543633201
SRR1069048	0.0268641888733052	0.151289526799731	0.145054876752714	0.134755574614065	0.176914427119766	0.134268898366912
SRR1069074	0.0301157082748948	0.175528892875832	0.121318561410321	0.131744925671813	0.0831618415807328	0.118527274257815
SRR1069121	0.0766970546984572	0.261543694400837	0.136731474156169	0.0736536949685535	0.128203999969914	0.113134154554128
SRR1069166	0.0315299205236091	0.194619122374224	0.129961179963367	0.110451508004574	0.0894250513347022	0.134482153880689
SRR1069303	0.0837073398784479	0.120685504971219	0.0890930967247369	0.135166523727844	0.108468157441463	0.142465205679331
SRR1069352	0.0306930808789154	0.0775966210660088	0.111063748807736	0.150300171526587	0.121761024738438	0.106276306190022
SRR1069376	0.0275818139317437	0.25381101891306	0.158886289290995	0.116164594053745	0.110097329091169	0.111938801279533
SRR1069400	0.0458041140719962	0.0499005756148613	0.0703882694274754	0.113145011435106	0.117012658799106	0.150173270104944
SRR1069421	0.0603588125292193	0.104028556477536	0.0846363508705158	0.0512525014293882	0.103569360140202	0.140096947078961
SRR1069445	0.0920067788686302	0.256402033340809	0.130687856672036	0.0868844696969697	0.134023437206189	0.117361383916045
SRR1069490	0.0997674146797569	0.237394034536892	0.125505201455195	0.0717150871926815	0.128609412490316	0.12369030248611
SRR1069514	0.0321552127162226	0.178522090154743	0.111882507042318	0.197635255860492	0.102483245707065	0.131764549076828
SRR1069564	0.0880317905563347	0.245016819914779	0.126154376212886	0.0754627644368211	0.127463877669217	0.125626438071721
SRR1069638	0.0189188873305283	0.210055318830829	0.139900613339697	0.118112135506003	0.120069424073531	0.118886441438914
SRR1069666	0.104296400187003	0.0415997607834343	0.0971256751686052	0.131485849056604	0.180367579032877	0.163159408496549
SRR1069778	0.0349672744273025	0.0581124317859012	0.101544821066411	0.0839006217838765	0.141127558273349	0.126826000336719
SRR1069826	0.0771762505843853	0.274398594602676	0.134421762547834	0.0839676243567753	0.106098863491061	0.114072759414109
SRR1069943	0.0326612903225806	0.100269866188234	0.108248356152926	0.125714694110921	0.132196448315545	0.138764100117852
SRR1069991	0.041161757830762	0.0877349181430814	0.122665253726808	0.137212335620355	0.133809072515438	0.13372593860486
SRR1070015	0.0203716690042076	0.167189952904239	0.126518865586295	0.152426386506575	0.131486412287234	0.116983977776531
SRR1070111	0.0416351098644226	0.266116468565448	0.179612306082062	0.0934060534591195	0.113687373543636	0.117938015601324
SRR1070159	0.0326986909770921	0.195880989758541	0.135090888302807	0.0989315323041738	0.102742739806395	0.120425528929794
SRR1070382	0.0453366058906031	0.0679090977050161	0.0942596376745424	0.0994764865637507	0.139793232093027	0.114872467590774
SRR1070429	0.0214703132304815	0.203965014577259	0.116944688929422	0.138266509433962	0.0792942512655038	0.118685812896346
SRR1070479	0.154305750350631	0.026323540405173	0.0375895972430791	0.022343124642653	0.0505573481959518	0.105771227341602
SRR1070549	0.0958017765310893	0.0345398818868207	0.0792158183783983	0.102259326758148	0.131812848342622	0.129241960828329
SRR1070573	0.22684899485741	-0.0889085744187785	0.0549699852592824	-0.0057175528873642	0.0681901602846161	0.14097382007969
SRR1070641	0.0291210846189809	0.268108694027061	0.15973420667545	0.120023942252716	0.109536220111169	0.113079437678882
SRR1070713	0.0240614773258533	0.221544441952605	0.16276368887801	0.116169060891938	0.118304864198088	0.13169439923677
SRR1070789	0.0741993922393641	0.0992703894744711	0.130165294012475	0.144296740994854	0.19597332851953	0.153576940344576
SRR1070813	0.0498328658251519	-0.0318673843163639	0.109265089668223	0.0500911234991424	0.129770742604418	0.150912649419159
SRR1070863	0.0331720430107527	0.140851461463706	0.0969814141113404	0.127514829902802	0.0929601883400651	0.110171025310062
SRR1070888	0.0489901823281907	0.15112506541078	0.162909484627373	0.152243246140652	0.174427796707057	0.140848953364386
SRR1070986	0.00111266947171573	0.0240913508260447	0.0689763526967994	0.0864243853630646	0.0470387586404014	0.122598770974802
SRR1071060	0.0356673679289388	0.211637138371832	0.144870713700887	0.123601879645512	0.0818508322615099	0.131388545934115
SRR1071084	0.0339036933146331	0.217213874560813	0.155918962118428	0.12051082761578	0.112301148543448	0.12010845165273
SRR1071105	0.0585308555399719	0.147938252223967	0.13977016451132	0.144269939965695	0.167107054478718	0.145720158258039
SRR1071157	0.05208391771856	0.129948418928011	0.15535112604196	0.136305567467124	0.189821437973389	0.150880380492733
SRR1071379	0.0258870967741935	0.122457950213052	0.092649745663152	0.0823059605488851	0.0856665237568728	0.111837785509849
SRR1071403	0.192474287050023	-0.108809897585408	0.0488097311756586	-0.0357168381932533	0.099410685139638	0.173527554857175
SRR1071453	0.0227384291725105	0.189541750766241	0.12074305187336	0.129306032018296	0.0754966115335726	0.106213171333969
SRR1071475	0.0439153810191678	0.176619570905285	0.133558498242394	0.10771333619211	0.0923622236763921	0.107164403165161
SRR1071499	0.109821178120617	0.0646355685131196	0.101168054156215	0.127711370783305	0.172912952892419	0.160135950390033
SRR1071620	0.0915626460963067	0.264391119084997	0.134665011245456	0.0705447755860492	0.140061752074072	0.117604102362647
SRR1071644	0.043153342683497	0.252580548702998	0.160743266730254	0.10139722698685	0.111979977585727	0.10969961838487
SRR1071807	-0.00487727910238428	0.0989773491814309	0.157304021737379	0.0752483562035449	0.112922430068221	0.110307115999776
SRR1071832	0.0513172043010753	0.208528070568887	0.147425976044991	0.127367424242424	0.141937631157344	0.125229389976991
SRR1071880	0.00654160822814398	0.108586379606788	0.137493448783104	0.0967472484276729	0.0942554023662853	0.130219849598743
SRR1071905	0.0265848527349228	0.192221723854377	0.141719223476492	0.149223663522013	0.102420816691864	0.113186065435771
SRR1071931	0.0857935951379148	-0.0527263212977498	0.102896884805244	0.0192654731275014	0.120578634233665	0.171282759975307
SRR1072007	0.0194880785413745	0.0806810196606115	0.105925599661754	0.168274728416238	0.133564621552301	0.109598602615186
SRR1072104	0.0253564749883123	0.0906361665545339	0.0837416253770547	0.15942145511721	0.124662845710074	0.102179555530613
SRR1072129	0.100177653108929	0.0649757045675413	0.142386814539366	0.137324006575186	0.200802927394303	0.162817077277064
SRR1072223	0.199614305750351	0.271701427823877	0.1238469666427	0.0813991923956546	0.0835619890034675	0.131297351142039
SRR1072247	0.0277185600748013	0.202688196157584	0.126974669139567	0.116490673241852	0.106804386578514	0.10840184634379
SRR1072321	0.228035296867695	-0.0877655677655678	0.0535350481471278	-0.00489118782161235	0.067765191687163	0.146553538357933
SRR1072388	0.0614890135577373	0.1063392389923	0.126348514763354	0.156853023156089	0.187540146369715	0.159874992985016
SRR1072480	0.0242122487143525	0.202712865365927	0.140733951149216	0.118183604917095	0.101943949274545	0.115545906055334
SRR1072554	0.0222019635343619	0.19351424086118	0.117268508962218	0.124566716695254	0.0873799369692594	0.132365031707728
SRR1072602	0.0433169705469846	0.0783030574867309	0.0931116879848188	0.0962335620354489	0.12592421267986	0.121707868006061
SRR1072676	0.093657082748948	0.242311430066532	0.123226951034881	0.0639606560891939	0.134262623071658	0.128179892249846
SRR1072724	0.0236582515194016	0.209792180608507	0.137215669513265	0.144127001143511	0.100298982331837	0.104901369324878
SRR1072749	0.0237085086489014	0.253414068924273	0.115522796700105	0.111979166666667	0.085743995908267	0.10850987709748
SRR1072773	0.0858438522674146	0.277284891978769	0.152661578139232	0.0854104130931961	0.105400109814894	0.111726948762557
SRR1072998	0.223203599812997	-0.0821290274351499	0.0530600609426232	-6.70025728988222e-05	0.076661702431723	0.147168050956844
SRR1073045	0.0466210846189808	0.204089855722509	0.148916929418743	0.14359098056032	0.166094651412927	0.14102152197093
SRR1073119	0.0167414679756895	0.223116543320625	0.167152908279894	0.121381861063465	0.134829749306135	0.122767130590942
SRR1073167	0.0227021972884526	0.0728810645137176	0.101703661698613	0.156129395368782	0.12354814931817	0.107395897637353
SRR1073217	0.079145628798504	0.0916154593705615	0.0885367708390085	0.127295954831332	0.119008882971922	0.140656742802626
SRR1073242	0.112669471715755	0.303234656499963	0.166520615135287	0.0966311106346484	0.0998634835390483	0.10760775015433
